campaign,role,workflow_or_run,fit_experiment,site_node,source_runtime,mqtt_library,broker,transport_security,outage,restart,persistence,receiver,clock_method,authority
historical_FIT_final,18-cell completeness/replay campaign,32628193889,"448265;448266;448269",Grenoble_A8-100,"Python 3.5.1-compatible A8 runner","paho-mqtt 1.6.1",mqtt4.iot-lab.info:8883,"TLS1.2 + peer verification; ISRG Root X1","iptables OUTPUT REJECT broker TCP/8883 records 3001-5000","C2 exec restart after record 4000","SQLite queue; executed runner requests WAL; synchronous FULL","FIT frontend mosquitto_sub QoS1; exact client version not recorded",not_used_for_exact_M3,"runner blob 3683737f9756c8b96c4c2e41f4372fc388fadb7d"
prospective_FIT_R5,scored M2/M3 endpoint adjudication,35653569079,449953,Grenoble_A8-102,"controller Python 3.12.14; Python-3.5-compatible A8 runner","paho-mqtt 1.6.1",mqtt4.iot-lab.info:8883,"TLS peer verification; qualified trust anchor","iptables OUTPUT REJECT broker TCP/8883 records 3001-5000",none,"same frozen W1 SQLite queue","FIT frontend mosquitto_sub QoS1 + fit_rt01_stamp_stream.py; exact client version not recorded","9 pre + 9 post midpoint samples per source/receiver; best-RTT bounds; pre/post hull","authority c9fd8968f1408d9a2e3a57dd825df05c2f1d9147"
