authority,authority_sha256,drive_id,run_id,artifact_type,internal_path,size_bytes,entry_sha256,github_anchor
master,6952565D8ED630496EB7A801DB90583F2FED2EFCDC81FEACD1A2072F18FA8878,1TYqlzrsYLWqmM0jEEmrFWS8_QUuLShiR,,TEXT_SNAPSHOT,meta/runtime_discovery.txt,145,59575C7C5BCEB5EA4F900BEF684E63DC0857F7A07A8A4B46E5520839863F8B17,evidence/powder/WP2_P8_GOLDEN_EVIDENCE_INDEX_2026-08-29.md
master,6952565D8ED630496EB7A801DB90583F2FED2EFCDC81FEACD1A2072F18FA8878,1TYqlzrsYLWqmM0jEEmrFWS8_QUuLShiR,,TEXT_SNAPSHOT,meta/COLLECTION_SUMMARY.txt,363,E8ABED6B0BF345A8EBF61AC7698E72343E686A96652D8A31C0487432D76D2FF4,evidence/powder/WP2_P8_GOLDEN_EVIDENCE_INDEX_2026-08-29.md
PLACEHOLDER_REGENERATE
